Armkuhl	https://plattmakers.de/de/10184/Armkuhl	_	_	Armkuhl	Ârmkuhl	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%82rmkuhl
Ader	https://plattmakers.de/de/10250/Ader	_	_	Ader	Adder	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Adder
_	_	_	_	Ader	Odder	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%96dder%7COdder%7C%C3%96ller
_	_	_	_	Ader	Odder	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%96dder%7COdder%7C%C3%96ller_ge%E1%B8%83en
_	_	_	_	Ader	Oder	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Oder
Atlas	https://plattmakers.de/de/10272/Atlas	_	_	Atlas	_
Aalprick	https://plattmakers.de/de/10547/Aalprick	_	_	Aalprick	_
Appelpannkoken	https://plattmakers.de/de/10587/Appelpannkoken	_	_	Appelpannkoken	Appelpannkōken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Appelpannk%C5%8Dken
Apenmaker	https://plattmakers.de/de/10628/Apenmaker	_	_	Apenmaker	_
allöverall	https://plattmakers.de/de/10772/all%C3%B6verall	_	_	allöverall	_
Avendroot	https://plattmakers.de/de/10774/Avendroot	_	_	Avendroot	Oḃendrōōt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dat_O%E1%B8%83endr%C5%8D%C5%8Dt
aver	https://plattmakers.de/de/1078/aver	_	_	aver	_
äver	https://plattmakers.de/de/1080/%C3%A4ver	_	_	äver	Ever	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Ever
_	_	_	_	äver	över	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%B6ver
_	_	_	_	äver	över	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%B6ver_Da%C4%9F
_	_	_	_	äver	över	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%B6ver_Kopp_gohn
_	_	_	_	äver	över	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%B6ver_Land
_	_	_	_	äver	över	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%B6ver_Sta%C4%A1_gohn
_	_	_	_	äver	över	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%B6ver_de%7C%C3%B6ver
_	_	_	_	äver	över	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%B6ver_de%7C%C3%B6ver_%C4%97n
_	_	_	_	äver	över	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%B6ver_de_%C4%93gen
