äa	f. poss. pron. her; {dit es äa Rock - this is her dress}. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4a
äa , ahr	f. pers. pron. her; {kjanst dü äa - do you know her}. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4a%20%2C%20ahr
Äajd	f. (pl: e) harrow. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84ajd
Äajdakjsel	m. (pl: s) lizard, salamander, newt, eft. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84ajdakjsel
äajde	to harrow. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4ajde
äajdwinje	to swirl, like dust around a windy corner; to eddy, a dust devil. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4ajdwinje
äaje	same as {äa} or {äare}(?). 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4aje
Äakjel	n. disgust, loathing, nausea. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84akjel
äakjelhauft	loathesome, distasteful, nauseous, abomination. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4akjelhauft
äakjle	to loathe, to detest, to abhor, to feel disgusted. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4akjle
äakjlijch	see äakjelhauft. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4akjlijch
äara	m. hers, theirs. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4ara
äare	f. or plural, her, their; hers, theirs. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4are
äat	n. hers, theirs. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4at
äatshaulwe , äarenthaulwe	for her (their) sake. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4atshaulwe%20%2C%20%C3%A4arenthaulwe
äatsjlikje	her peers, their peers, of her or their kind, like her, the likes of (her) (them). 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4atsjlikje
acht	f. (pl: e) eight. 	https://ereimer.net/plautdietsch/pddefns.htm#acht
acht Noote	an octave. 	https://ereimer.net/plautdietsch/pddefns.htm#acht%20Noote
Acht	f. respect. esteem. 	https://ereimer.net/plautdietsch/pddefns.htm#Acht
achtakjijch	octagonal. 	https://ereimer.net/plautdietsch/pddefns.htm#achtakjijch
achte	to mind, to respect, to have regard for. 	https://ereimer.net/plautdietsch/pddefns.htm#achte
achtel	n. eighth part. 	https://ereimer.net/plautdietsch/pddefns.htm#achtel
Achtel Miel	a furlong. 	https://ereimer.net/plautdietsch/pddefns.htm#Achtel%20Miel
achtian	eighteen. 	https://ereimer.net/plautdietsch/pddefns.htm#achtian
achtungsweat	noteworthy. 	https://ereimer.net/plautdietsch/pddefns.htm#achtungsweat
Acka	m. (pl: sch) acre. 	https://ereimer.net/plautdietsch/pddefns.htm#Acka
ackre	to till, to seed the land, to work the land. 	https://ereimer.net/plautdietsch/pddefns.htm#ackre
adel	noble. 	https://ereimer.net/plautdietsch/pddefns.htm#adel
Adelmaun	m. nobleman. 	https://ereimer.net/plautdietsch/pddefns.htm#Adelmaun
Ädikj	m. vinegar. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84dikj
A'drass	f. (pl: e) address. 	https://ereimer.net/plautdietsch/pddefns.htm#A%27drass
A'drassbüak	n. address book, a directory. 	https://ereimer.net/plautdietsch/pddefns.htm#A%27drassb%C3%BCak
adra'sseare	address a letter. 	https://ereimer.net/plautdietsch/pddefns.htm#adra%27sseare
afen(t)s	almost, barely, nearly, marginally. 	https://ereimer.net/plautdietsch/pddefns.htm#afen%28t%29s
Agj	f. (pl: e) selvage, fringe or edge of cloth. 	https://ereimer.net/plautdietsch/pddefns.htm#Agj
äjanoatijch	peculiar, strange; original. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4janoatijch
äjen	own; odd nature, peculiar, singular. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4jen
Äjendeema	m. owner, proprietor. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jendeema
Äjendeema Bewiess	m. title, deed, proof of ownership. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jendeema%20Bewiess
Äjendom	property, ownership, chattels. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jendom
Äjenheit	f. (pl: e) characteristic, peculiarity. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jenheit
Äjenkopp	m. a stubborn, self willed individual. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jenkopp
Äjenrajcht	tenure, right of ownership. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jenrajcht
Äjenschoft	f. (pl: e) quality, characteristic, idiocyncracy. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jenschoft
Äjensenn	obstinacy, self will. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jensenn
Äjensennijch	obstinate, self willed, independent. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jensennijch
äjent	especially. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4jent
Ä'jent	m. (pl: e) agent. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84%27jent
äjne	to own. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4jne
Akj	f. (pl: e) corner, nook angle. 	https://ereimer.net/plautdietsch/pddefns.htm#Akj
Akj too Akj	corner to corner. 	https://ereimer.net/plautdietsch/pddefns.htm#Akj%20too%20Akj
Äkj	f. (pl: e) oak (tree). 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84kj
akjawalsch	askew, out of plumb. 	https://ereimer.net/plautdietsch/pddefns.htm#akjawalsch
Äkje	f. rafters. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84kje
Äkjekota	m. squirrel. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84kjekota
akjijch	angular. 	https://ereimer.net/plautdietsch/pddefns.htm#akjijch
Akjs	f. (pl: e) axe. 	https://ereimer.net/plautdietsch/pddefns.htm#Akjs
Akjschaup	n. corner cupboard. 	https://ereimer.net/plautdietsch/pddefns.htm#Akjschaup
Akjshaulm	m. (pl: Akjshalm) axe handle. 	https://ereimer.net/plautdietsch/pddefns.htm#Akjshaulm
Akjsteen	m. corner stone. 	https://ereimer.net/plautdietsch/pddefns.htm#Akjsteen
Alboage	m. (pl: s) elbow. 	https://ereimer.net/plautdietsch/pddefns.htm#Alboage
Älend	n. misery, affliction, wretchedness. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84lend
