äa	f. poss. pron. her; {dit es äa Rock - this is her dress}. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4a	äa	Ehr	http://example.org/lexicon#S%C4%93_Ehr
_	_	_	äa	ehr	http://example.org/lexicon#d%C4%93_ehr
_	_	_	äa	ehr	http://example.org/lexicon#d%C4%93_s%C3%BCm%7Cehr%28n%29
_	_	_	äa	ehr	http://example.org/lexicon#ehr
_	_	_	äa	ä	http://example.org/lexicon#%C3%A4%7Co
_	_	_	äa	Ēhr	http://example.org/lexicon#%C4%92hr
_	_	_	äa	Ēēr	http://example.org/lexicon#%C4%92%C4%93r
_	_	_	äa	ēhr	http://example.org/lexicon#%C4%93hr
_	_	_	äa	ēhr	http://example.org/lexicon#al_%C4%93hr
äa , ahr	f. pers. pron. her; {kjanst dü äa - do you know her}. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4a%20%2C%20ahr	äa	Ehr	http://example.org/lexicon#S%C4%93_Ehr
_	_	_	äa	ehr	http://example.org/lexicon#d%C4%93_ehr
_	_	_	äa	ehr	http://example.org/lexicon#d%C4%93_s%C3%BCm%7Cehr%28n%29
_	_	_	äa	ehr	http://example.org/lexicon#ehr
_	_	_	äa	ä	http://example.org/lexicon#%C3%A4%7Co
_	_	_	äa	Ēhr	http://example.org/lexicon#%C4%92hr
_	_	_	äa	Ēēr	http://example.org/lexicon#%C4%92%C4%93r
_	_	_	äa	ēhr	http://example.org/lexicon#%C4%93hr
_	_	_	äa	ēhr	http://example.org/lexicon#al_%C4%93hr
_	_	_	,	_
_	_	_	ahr	Ehr	http://example.org/lexicon#S%C4%93_Ehr
_	_	_	ahr	ehr	http://example.org/lexicon#d%C4%93_ehr
_	_	_	ahr	ehr	http://example.org/lexicon#d%C4%93_s%C3%BCm%7Cehr%28n%29
_	_	_	ahr	ehr	http://example.org/lexicon#ehr
Äajd	f. (pl: e) harrow. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84ajd	Äajd	_
Äajdakjsel	m. (pl: s) lizard, salamander, newt, eft. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84ajdakjsel	Äajdakjsel	_
äajde	to harrow. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4ajde	äajde	_
äajdwinje	to swirl, like dust around a windy corner; to eddy, a dust devil. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4ajdwinje	äajdwinje	_
äaje	same as {äa} or {äare}(?). 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4aje	äaje	Eggen	http://example.org/lexicon#Eggen
_	_	_	äaje	Ei	http://example.org/lexicon#Ei
_	_	_	äaje	Eġġ	http://example.org/lexicon#E%C4%A1%C4%A1
_	_	_	äaje	Eǧǧ	http://example.org/lexicon#E%C7%A7%C7%A7%7CEch
Äakjel	n. disgust, loathing, nausea. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84akjel	Äakjel	_
