ick 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=1	ick	_	ick	ik	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#ik
sei 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=3	sei	_	sei	Sei	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Sei
_	_	_	_	sei	Sē	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#H%C4%93_un_S%C4%93
_	_	_	_	sei	Sē	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#S%C4%93
_	_	_	_	sei	Sēē	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#S%C4%93%C4%93
_	_	_	_	sei	Sēē	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#de_S%C4%93%C4%93
_	_	_	_	sei	Sēē	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#no_S%C4%93%C4%93_t%C5%8D
wi, wiw´ 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=6	wi wiw´	_	wi,	wi	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#wi
_	_	_	_	wiw´	_
ji 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=7	ji	_	ji	_
min 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=10	min	_	min	Mien	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Mien
_	_	_	_	min	Mien	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Mien_l%C4%93ve_%E2%80%A6%21
_	_	_	_	min	Mien	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Mien_s%C8%ABte_%E2%80%A6%21
_	_	_	_	min	Mien	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dat_Mien_un_dat_Dien
_	_	_	_	min	mien	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%28%C3%A2ll%29_mien%7Csien_%28noch%29_Doo%C4%9F_ni
_	_	_	_	min	mien	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%28%C3%A2ll%29_mien%7Csien_Doo%C4%9F_nix
_	_	_	_	min	mien	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%A2ll_mien%7C%E2%80%A6_Doo%C4%9F
_	_	_	_	min	mien	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%A2ll_mien_Doo%C4%9F
_	_	_	_	min	mien	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#mien%7Csien
_	_	_	_	min	mien	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#mien_Doo%C4%9F
_	_	_	_	min	mien	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#mien_Doo%C4%9F_k%C4%93%C4%93n
_	_	_	_	min	mien	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#mien_Doo%C4%9F_nix
_	_	_	_	min	mien	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#op_mien%7C%E2%80%A6_%C5%8Dlen_Doo%C4%9F
_	_	_	_	min	minn	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#minn
_	_	_	_	min	minn	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#t%C5%8D_minn
noch 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=34	noch	_	noch	_
klein 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=38	klein	_	klein	_
dor 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=39	dor	_	dor	Dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Dor
_	_	_	_	dor	Dōōr	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#D%C5%8D%C5%8Dr
_	_	_	_	dor	Dōōr	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dat_D%C5%8D%C5%8Dr
_	_	_	_	dor	Dōōr	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dat_D%C5%8D%C5%8Dr_D%7CT
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Nix_dor
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%28gor%29_ni
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%E2%80%A6_an
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%E2%80%A6_bi
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%E2%80%A6_d%C3%B6r
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%E2%80%A6_f%C3%B6r
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%E2%80%A6_in
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%E2%80%A6_mit
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%E2%80%A6_no
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%E2%80%A6_op
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%E2%80%A6_t%C5%8D
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%E2%80%A6_um_u%7C%C3%BC
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%E2%80%A6_ut
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%E2%80%A6_v%C3%B6r
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_%E2%80%A6_vun
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_ni
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_v%C3%B6r
_	_	_	_	dor	dor	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_wat
dat 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=40	dat	_	dat	Dat	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Dat_is%E2%80%A6
_	_	_	_	dat	dat	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%A2ll_d%C4%97n%7Cde%7Cdat
_	_	_	_	dat	dat	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%A2ll_dat
_	_	_	_	dat	dat	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%A2ll_dat%2C_wat%E2%80%A6
_	_	_	_	dat	dat	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#as_dat_is
_	_	_	_	dat	dat	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#bi_%C3%A2ll_d%C4%97n%7Cde%7Cdat_%E2%80%A6
